dataset,column,display_name,category,data_type,unit,description,calculation,higher_means,missing_value_meaning,include_in_explorer,used_in,notes
stoic_mental_health_daily.csv / master_daily.csv,trigger_work,Work Trigger,trigger,binary,0/1,Whether work trigger was selected.,1 when its Stoic trigger code was selected; otherwise 0.,Presence of the trigger,No completed trigger response,yes,"Summary, predictions, trigger views, things to watch, explorer",Analyze against mood/health outcomes rather than against trigger counts.
stoic_mental_health_daily.csv / master_daily.csv,trigger_school,School Trigger,trigger,binary,0/1,Whether school trigger was selected.,1 when its Stoic trigger code was selected; otherwise 0.,Presence of the trigger,No completed trigger response,yes,"Summary, predictions, trigger views, things to watch, explorer",Analyze against mood/health outcomes rather than against trigger counts.
stoic_mental_health_daily.csv / master_daily.csv,trigger_family_or_friends,Family or Friends Trigger,trigger,binary,0/1,Whether family or friends trigger was selected.,1 when its Stoic trigger code was selected; otherwise 0.,Presence of the trigger,No completed trigger response,yes,"Summary, predictions, trigger views, things to watch, explorer",Analyze against mood/health outcomes rather than against trigger counts.
stoic_mental_health_daily.csv / master_daily.csv,trigger_health,Health Trigger,trigger,binary,0/1,Whether health trigger was selected.,1 when its Stoic trigger code was selected; otherwise 0.,Presence of the trigger,No completed trigger response,yes,"Summary, predictions, trigger views, things to watch, explorer",Analyze against mood/health outcomes rather than against trigger counts.
stoic_mental_health_daily.csv / master_daily.csv,trigger_other,Other Trigger,trigger,binary,0/1,Whether other trigger was selected.,1 when its Stoic trigger code was selected; otherwise 0.,Presence of the trigger,No completed trigger response,yes,"Summary, predictions, trigger views, things to watch, explorer",Analyze against mood/health outcomes rather than against trigger counts.
stoic_mental_health_daily.csv / master_daily.csv,symptom_lack_of_interest,Lack of Interest,symptom,binary,0/1,Whether lack of interest was selected.,1 when its Stoic symptom code was selected; otherwise 0.,Presence of the symptom,No completed symptom response,yes,"Summary, predictions, symptom views, things to watch, explorer",Self-harm fields are private and should be handled carefully.
stoic_mental_health_daily.csv / master_daily.csv,symptom_worthlessness,Worthlessness,symptom,binary,0/1,Whether worthlessness was selected.,1 when its Stoic symptom code was selected; otherwise 0.,Presence of the symptom,No completed symptom response,yes,"Summary, predictions, symptom views, things to watch, explorer",Self-harm fields are private and should be handled carefully.
stoic_mental_health_daily.csv / master_daily.csv,symptom_hopelessness,Hopelessness,symptom,binary,0/1,Whether hopelessness was selected.,1 when its Stoic symptom code was selected; otherwise 0.,Presence of the symptom,No completed symptom response,yes,"Summary, predictions, symptom views, things to watch, explorer",Self-harm fields are private and should be handled carefully.
stoic_mental_health_daily.csv / master_daily.csv,symptom_low_energy,Low Energy,symptom,binary,0/1,Whether low energy was selected.,1 when its Stoic symptom code was selected; otherwise 0.,Presence of the symptom,No completed symptom response,yes,"Summary, predictions, symptom views, things to watch, explorer",Self-harm fields are private and should be handled carefully.
stoic_mental_health_daily.csv / master_daily.csv,symptom_appetite_change,Appetite Change,symptom,binary,0/1,Whether appetite change was selected.,1 when its Stoic symptom code was selected; otherwise 0.,Presence of the symptom,No completed symptom response,yes,"Summary, predictions, symptom views, things to watch, explorer",Self-harm fields are private and should be handled carefully.
stoic_mental_health_daily.csv / master_daily.csv,symptom_trouble_concentrating,Trouble Concentrating,symptom,binary,0/1,Whether trouble concentrating was selected.,1 when its Stoic symptom code was selected; otherwise 0.,Presence of the symptom,No completed symptom response,yes,"Summary, predictions, symptom views, things to watch, explorer",Self-harm fields are private and should be handled carefully.
stoic_mental_health_daily.csv / master_daily.csv,symptom_passive_self_harm_thoughts,Passive Self-Harm Thoughts,symptom,binary,0/1,Whether passive self-harm thoughts was selected.,1 when its Stoic symptom code was selected; otherwise 0.,Presence of the symptom,No completed symptom response,yes,"Summary, predictions, symptom views, things to watch, explorer",Self-harm fields are private and should be handled carefully.
stoic_mental_health_daily.csv / master_daily.csv,symptom_active_self_harm_thoughts,Active Self-Harm Thoughts,symptom,binary,0/1,Whether active self-harm thoughts was selected.,1 when its Stoic symptom code was selected; otherwise 0.,Presence of the symptom,No completed symptom response,yes,"Summary, predictions, symptom views, things to watch, explorer",Self-harm fields are private and should be handled carefully.
stoic_mental_health_daily.csv / master_daily.csv,symptom_none,No Symptoms Selected,symptom,binary,0/1,Whether no symptoms selected was selected.,1 when its Stoic symptom code was selected; otherwise 0.,Presence of the symptom,No completed symptom response,no,"Summary, predictions, symptom views, things to watch, explorer",Self-harm fields are private and should be handled carefully.
stoic_mental_health_daily.csv / master_daily.csv,recovery_time,Time,recovery,binary,0/1,Whether time was selected.,1 when its Stoic recovery code was selected; otherwise 0.,Presence of the response,No completed recovery response,yes,"Recovery effectiveness, summary, predictions, explorer","recovery_time is a binary method label, not a numeric time duration."
stoic_mental_health_daily.csv / master_daily.csv,recovery_sleep,Sleep as Recovery,recovery,binary,0/1,Whether sleep as recovery was selected.,1 when its Stoic recovery code was selected; otherwise 0.,Presence of the response,No completed recovery response,yes,"Recovery effectiveness, summary, predictions, explorer","recovery_time is a binary method label, not a numeric time duration."
stoic_mental_health_daily.csv / master_daily.csv,recovery_talking_about_it,Talking About It,recovery,binary,0/1,Whether talking about it was selected.,1 when its Stoic recovery code was selected; otherwise 0.,Presence of the response,No completed recovery response,yes,"Recovery effectiveness, summary, predictions, explorer","recovery_time is a binary method label, not a numeric time duration."
stoic_mental_health_daily.csv / master_daily.csv,recovery_just_being_social,Being Social,recovery,binary,0/1,Whether being social was selected.,1 when its Stoic recovery code was selected; otherwise 0.,Presence of the response,No completed recovery response,yes,"Recovery effectiveness, summary, predictions, explorer","recovery_time is a binary method label, not a numeric time duration."
stoic_mental_health_daily.csv / master_daily.csv,recovery_nature,Nature,recovery,binary,0/1,Whether nature was selected.,1 when its Stoic recovery code was selected; otherwise 0.,Presence of the response,No completed recovery response,yes,"Recovery effectiveness, summary, predictions, explorer","recovery_time is a binary method label, not a numeric time duration."
stoic_mental_health_daily.csv / master_daily.csv,recovery_exercise,Exercise as Recovery,recovery,binary,0/1,Whether exercise as recovery was selected.,1 when its Stoic recovery code was selected; otherwise 0.,Presence of the response,No completed recovery response,yes,"Recovery effectiveness, summary, predictions, explorer","recovery_time is a binary method label, not a numeric time duration."
stoic_mental_health_daily.csv / master_daily.csv,recovery_hobby,Hobby,recovery,binary,0/1,Whether hobby was selected.,1 when its Stoic recovery code was selected; otherwise 0.,Presence of the response,No completed recovery response,yes,"Recovery effectiveness, summary, predictions, explorer","recovery_time is a binary method label, not a numeric time duration."
stoic_mental_health_daily.csv / master_daily.csv,recovery_food,Food,recovery,binary,0/1,Whether food was selected.,1 when its Stoic recovery code was selected; otherwise 0.,Presence of the response,No completed recovery response,yes,"Recovery effectiveness, summary, predictions, explorer","recovery_time is a binary method label, not a numeric time duration."
stoic_mental_health_daily.csv / master_daily.csv,recovery_therapy_skill,Therapy Skill,recovery,binary,0/1,Whether therapy skill was selected.,1 when its Stoic recovery code was selected; otherwise 0.,Presence of the response,No completed recovery response,yes,"Recovery effectiveness, summary, predictions, explorer","recovery_time is a binary method label, not a numeric time duration."
stoic_mental_health_daily.csv / master_daily.csv,recovery_other,Other Recovery Method,recovery,binary,0/1,Whether other recovery method was selected.,1 when its Stoic recovery code was selected; otherwise 0.,Presence of the response,No completed recovery response,yes,"Recovery effectiveness, summary, predictions, explorer","recovery_time is a binary method label, not a numeric time duration."
stoic_mental_health_daily.csv / master_daily.csv,recovery_it_did_not,Did Not Recover,recovery,binary,0/1,Whether did not recover was selected.,1 when its Stoic recovery code was selected; otherwise 0.,Presence of the response,No completed recovery response,yes,"Recovery effectiveness, summary, predictions, explorer","recovery_time is a binary method label, not a numeric time duration."
stoic_answers_long.csv,question_id,Question ID,source metadata,text,,Stable Stoic question identifier.,Copied or mapped during Stoic processing.,N/A,Source value unavailable,no,"Processing, frequency tables, and specialized plots",
stoic_answers_long.csv,question,Question,source metadata,text,,Readable question text.,Copied or mapped during Stoic processing.,N/A,Source value unavailable,no,"Processing, frequency tables, and specialized plots",
stoic_answers_long.csv,answer,Answer,source data,text,,Raw answer value.,Copied or mapped during Stoic processing.,N/A,Source value unavailable,no,"Processing, frequency tables, and specialized plots",
stoic_answers_long.csv,routine,Routine ID,source metadata,text,,Associated Stoic routine.,Copied or mapped during Stoic processing.,N/A,Source value unavailable,no,"Processing, frequency tables, and specialized plots",
stoic_answers_long.csv,context,Answer Context,source metadata,text,,Stoic answer context.,Copied or mapped during Stoic processing.,N/A,Source value unavailable,no,"Processing, frequency tables, and specialized plots",
stoic_answers_long.csv,uuid,Answer UUID,identifier,text,,Unique answer identifier.,Copied or mapped during Stoic processing.,N/A,Source value unavailable,no,"Processing, frequency tables, and specialized plots",
stoic_answers_long.csv,timestamp,Answer Timestamp,time,datetime,milliseconds since epoch,Original answer timestamp.,Copied or mapped during Stoic processing.,N/A,Source value unavailable,no,"Processing, frequency tables, and specialized plots",
stoic_triggers_long.csv,trigger_code,Trigger Code,trigger,text,,Stoic trigger code.,Copied or mapped during Stoic processing.,N/A,Source value unavailable,no,"Processing, frequency tables, and specialized plots",
stoic_triggers_long.csv,trigger,Trigger,trigger,categorical,,Readable trigger.,Copied or mapped during Stoic processing.,N/A,Source value unavailable,no,"Processing, frequency tables, and specialized plots",
stoic_symptoms_long.csv,symptom_code,Symptom Code,symptom,text,,Stoic symptom code.,Copied or mapped during Stoic processing.,N/A,Source value unavailable,no,"Processing, frequency tables, and specialized plots",
stoic_symptoms_long.csv,symptom,Symptom,symptom,categorical,,Readable symptom.,Copied or mapped during Stoic processing.,N/A,Source value unavailable,no,"Processing, frequency tables, and specialized plots",
stoic_recovery_long.csv,recovery_code,Recovery Code,recovery,text,,Stoic recovery code.,Copied or mapped during Stoic processing.,N/A,Source value unavailable,no,"Processing, frequency tables, and specialized plots",
stoic_recovery_long.csv,recovery_method,Recovery Method,recovery,categorical,,Readable recovery method.,Copied or mapped during Stoic processing.,N/A,Source value unavailable,no,"Processing, frequency tables, and specialized plots",
stoic_automatic_thoughts_long.csv,automatic_thought,Automatic Thought,thought,text,,One parsed automatic thought.,Copied or mapped during Stoic processing.,N/A,Source value unavailable,no,"Processing, frequency tables, and specialized plots",
stoic_trigger_thought_pairs.csv,trigger,Trigger,trigger,categorical,,Trigger in a same-day trigger-thought pair.,Copied or mapped during Stoic processing.,N/A,Source value unavailable,no,"Processing, frequency tables, and specialized plots",
stoic_trigger_thought_pairs.csv,automatic_thought,Automatic Thought,thought,text,,Thought in a same-day trigger-thought pair.,Copied or mapped during Stoic processing.,N/A,Source value unavailable,no,"Processing, frequency tables, and specialized plots",
stoic_triggers_long.csv,lowest_mood_score,Lowest Mood Score,mood,numeric,score,Same-day lowest mood.,Joined from daily Stoic data.,Better mood,No same-day score,no,Factor versus mood analysis,
stoic_triggers_long.csv,lowest_mood_duration_score,Lowest Mood Duration Score,mood,ordinal numeric,0-4 score,Same-day duration score.,Joined from daily Stoic data.,Longer duration / potentially worse,No same-day score,no,Factor versus duration analysis,
stoic_triggers_long.csv,relationship_security_score,Relationship Security Score,relationship,numeric,score,Same-day relationship security.,Joined from daily Stoic data.,Better / more secure,No same-day score,no,Factor versus relationship analysis,
stoic_symptoms_long.csv,lowest_mood_score,Lowest Mood Score,mood,numeric,score,Same-day lowest mood.,Joined from daily Stoic data.,Better mood,No same-day score,no,Factor versus mood analysis,
stoic_symptoms_long.csv,lowest_mood_duration_score,Lowest Mood Duration Score,mood,ordinal numeric,0-4 score,Same-day duration score.,Joined from daily Stoic data.,Longer duration / potentially worse,No same-day score,no,Factor versus duration analysis,
stoic_symptoms_long.csv,relationship_security_score,Relationship Security Score,relationship,numeric,score,Same-day relationship security.,Joined from daily Stoic data.,Better / more secure,No same-day score,no,Factor versus relationship analysis,
stoic_recovery_long.csv,lowest_mood_score,Lowest Mood Score,mood,numeric,score,Same-day lowest mood.,Joined from daily Stoic data.,Better mood,No same-day score,no,Factor versus mood analysis,
stoic_recovery_long.csv,lowest_mood_duration_score,Lowest Mood Duration Score,mood,ordinal numeric,0-4 score,Same-day duration score.,Joined from daily Stoic data.,Longer duration / potentially worse,No same-day score,no,Factor versus duration analysis,
stoic_recovery_long.csv,relationship_security_score,Relationship Security Score,relationship,numeric,score,Same-day relationship security.,Joined from daily Stoic data.,Better / more secure,No same-day score,no,Factor versus relationship analysis,
stoic_automatic_thoughts_long.csv,lowest_mood_score,Lowest Mood Score,mood,numeric,score,Same-day lowest mood.,Joined from daily Stoic data.,Better mood,No same-day score,no,Factor versus mood analysis,
stoic_automatic_thoughts_long.csv,lowest_mood_duration_score,Lowest Mood Duration Score,mood,ordinal numeric,0-4 score,Same-day duration score.,Joined from daily Stoic data.,Longer duration / potentially worse,No same-day score,no,Factor versus duration analysis,
stoic_automatic_thoughts_long.csv,relationship_security_score,Relationship Security Score,relationship,numeric,score,Same-day relationship security.,Joined from daily Stoic data.,Better / more secure,No same-day score,no,Factor versus relationship analysis,
apple_daily_sleep.csv,sleep_hours_asleep,Total Hours Asleep,sleep,numeric,hours,Total time classified as asleep.,Sum of supported asleep-stage durations; awake time excluded.,"More sleep, but relationship may be nonlinear",No valid sleep records,yes,"Sleep quality, mood, lagged effects, consistency, baselines, explorer",Assigned to the project-defined sleep date.
apple_daily_activity.csv,active_energy,Active Energy,activity,numeric,kcal,Daily active energy burned.,Daily sum of ActiveEnergyBurned records.,More activity,No records,yes,"Activity, mood associations, explorer",
apple_daily_activity.csv,basal_energy,Basal Energy,activity,numeric,kcal,Daily basal energy burned.,Daily sum of BasalEnergyBurned records.,Context dependent,No records,yes,Health and explorer,
apple_daily_activity.csv,exercise_minutes,Exercise Minutes,activity,numeric,minutes,Daily exercise minutes.,Daily sum of AppleExerciseTime records.,More exercise,No records,yes,"Activity, mood, lagged effects, baselines, explorer",
apple_daily_activity.csv,flights_climbed,Flights Climbed,activity,numeric,flights,Daily flights climbed.,Daily sum of FlightsClimbed records.,More stairs,No records,yes,Activity and explorer,
apple_daily_activity.csv,stand_minutes,Stand Minutes,activity,numeric,minutes,Daily standing minutes.,Daily sum of standing-time records.,More standing,No records,yes,Activity and explorer,
apple_daily_activity.csv,steps,Steps,activity,numeric,steps,Daily step count.,Daily sum of StepCount records.,More steps,No records,yes,"Activity, mood, lagged effects, consistency, baselines, explorer",
apple_daily_activity.csv,walking_running_distance,Walking and Running Distance,activity,numeric,source distance unit,Daily walking/running distance.,Daily sum of DistanceWalkingRunning records.,More distance,No records,yes,"Activity, mood, explorer",Confirm miles versus kilometers.
apple_daily_heart.csv,heart_rate,Heart Rate,heart,numeric,bpm,Daily aggregate heart rate.,Daily mean of HeartRate records.,Context dependent,No records,yes,"Health, heart, explorer",
apple_daily_heart.csv,hrv_sdnn,Heart Rate Variability (SDNN),heart,numeric,ms,Daily HRV measured as SDNN.,Daily aggregate of HRV records.,Higher relative to personal baseline is often favorable,No records,yes,"HRV-mood, HRV-security, trends, lagged effects, consistency, baselines, explorer",Interpret relative to personal baseline.
apple_daily_heart.csv,resting_heart_rate,Resting Heart Rate,heart,numeric,bpm,Daily resting heart rate.,Daily aggregate of RestingHeartRate records.,"Usually lower is favorable, context dependent",No records,yes,"Health, mood, lagged effects, baselines, explorer",
apple_daily_body.csv,body_mass,Body Mass,body,numeric,source mass unit,Recorded body mass.,Daily aggregate of BodyMass records.,N/A,No measurement,yes,Health and explorer,Confirm pounds versus kilograms.
apple_daily_respiratory.csv,oxygen_saturation,Oxygen Saturation,respiratory,numeric,proportion or percent,Daily oxygen saturation.,Daily aggregate of OxygenSaturation records.,Higher within healthy range,No records,yes,Health and explorer,Confirm 0-1 versus percent.
apple_daily_respiratory.csv,respiratory_rate,Respiratory Rate,respiratory,numeric,breaths/min,Daily respiratory rate.,Daily aggregate of RespiratoryRate records.,Context dependent,No records,yes,Health and explorer,
apple_daily_workouts.csv,workout_count,Workout Count,workout,numeric,count,Number of recorded workouts.,Daily count of Workout records.,More workouts,No workouts,yes,Activity and explorer,
apple_daily_workouts.csv,workout_duration_total,Total Workout Duration,workout,numeric,minutes,Total recorded workout duration.,Daily sum after unit conversion.,More workout time,No workouts,yes,"Activity, mood, explorer",
apple_activity_summary.csv,activeEnergyBurned,Move Ring Active Energy,activity ring,numeric,kcal,Actual daily active energy from ActivitySummary.,Copied from Apple Health ActivitySummary.,N/A,No ActivitySummary record,no,Reference only,Hidden from the explorer to avoid duplicates and goal comparisons.
apple_activity_summary.csv,activeEnergyBurnedGoal,Move Ring Goal,activity ring,numeric,kcal,Daily move-goal target.,Copied from Apple Health ActivitySummary.,N/A,No ActivitySummary record,no,Reference only,Hidden from the explorer to avoid duplicates and goal comparisons.
apple_activity_summary.csv,activeEnergyBurnedUnit,Move Ring Unit,activity ring,text,,Unit for move-ring energy.,Copied from Apple Health ActivitySummary.,N/A,No ActivitySummary record,no,Reference only,Hidden from the explorer to avoid duplicates and goal comparisons.
apple_activity_summary.csv,appleMoveTime,Apple Move Time,activity ring,numeric,minutes,Daily move time.,Copied from Apple Health ActivitySummary.,N/A,No ActivitySummary record,no,Reference only,Hidden from the explorer to avoid duplicates and goal comparisons.
apple_activity_summary.csv,appleMoveTimeGoal,Apple Move Time Goal,activity ring,numeric,minutes,Daily move-time goal.,Copied from Apple Health ActivitySummary.,N/A,No ActivitySummary record,no,Reference only,Hidden from the explorer to avoid duplicates and goal comparisons.
apple_activity_summary.csv,appleExerciseTime,Apple Exercise Time,activity ring,numeric,minutes,Daily exercise time.,Copied from Apple Health ActivitySummary.,N/A,No ActivitySummary record,no,Reference only,Hidden from the explorer to avoid duplicates and goal comparisons.
apple_activity_summary.csv,appleExerciseTimeGoal,Apple Exercise Time Goal,activity ring,numeric,minutes,Daily exercise-time goal.,Copied from Apple Health ActivitySummary.,N/A,No ActivitySummary record,no,Reference only,Hidden from the explorer to avoid duplicates and goal comparisons.
apple_activity_summary.csv,appleStandHours,Apple Stand Hours,activity ring,numeric,hours,Daily stand hours.,Copied from Apple Health ActivitySummary.,N/A,No ActivitySummary record,no,Reference only,Hidden from the explorer to avoid duplicates and goal comparisons.
apple_activity_summary.csv,appleStandHoursGoal,Apple Stand Hours Goal,activity ring,numeric,hours,Daily stand-hours goal.,Copied from Apple Health ActivitySummary.,N/A,No ActivitySummary record,no,Reference only,Hidden from the explorer to avoid duplicates and goal comparisons.
apple_health_records_selected.csv,type,Apple Health Type,source metadata,text,,Full Apple Health type identifier.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_records_selected.csv,sourceName,Source Name,source metadata,text,,Application/device source.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_records_selected.csv,sourceVersion,Source Version,source metadata,text,,Source version.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_records_selected.csv,unit,Source Unit,source metadata,text,,Unit supplied by Apple Health.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_records_selected.csv,creationDate,Creation Date,source metadata,datetime,,Record creation time.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_records_selected.csv,startDate,Start Date,source metadata,datetime,,Record start time.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_records_selected.csv,endDate,End Date,source metadata,datetime,,Record end time.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_records_selected.csv,value,Raw Value,source metadata,mixed,,Raw record value.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_records_selected.csv,value_raw,Raw Value Preserved,source metadata,text,,Original value before numeric conversion.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_records_selected.csv,value_numeric,Numeric Value,source metadata,numeric,source unit,Numeric conversion when possible.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_records_selected.csv,type_short,Short Type,source metadata,text,,Shortened type name.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_records_selected.csv,device,Device,source metadata,text,,Device metadata.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_workouts.csv,workoutActivityType,Workout Activity Type,source metadata,categorical,,Apple workout identifier.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_workouts.csv,duration,Workout Duration,source metadata,numeric,durationUnit,Workout duration.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_workouts.csv,durationUnit,Workout Duration Unit,source metadata,text,,Duration unit.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_workouts.csv,sourceName,Source Name,source metadata,text,,Workout source.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_workouts.csv,sourceVersion,Source Version,source metadata,text,,Workout source version.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_workouts.csv,device,Device,source metadata,text,,Workout device.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_workouts.csv,creationDate,Creation Date,source metadata,datetime,,Workout record creation time.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_workouts.csv,startDate,Start Date,source metadata,datetime,,Workout start.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
apple_health_workouts.csv,endDate,End Date,source metadata,datetime,,Workout end.,Copied from Apple Health export.,N/A,Source field unavailable,no,Import and processing only,
correlation_ready_daily_enriched.csv,high_steps_day,High Steps Day,derived flag,binary,0/1,Steps above the configured personal threshold.,Derived during merge/enrichment.,Presence of condition,Underlying metric unavailable,yes,With-vs-without comparisons and explorer,Keep threshold definitions documented in merge.py.
correlation_ready_daily_enriched.csv,low_steps_day,Low Steps Day,derived flag,binary,0/1,Steps below the configured personal threshold.,Derived during merge/enrichment.,Presence of condition,Underlying metric unavailable,yes,With-vs-without comparisons and explorer,Keep threshold definitions documented in merge.py.
correlation_ready_daily_enriched.csv,high_exercise_day,High Exercise Day,derived flag,binary,0/1,Exercise minutes above the configured threshold.,Derived during merge/enrichment.,Presence of condition,Underlying metric unavailable,yes,With-vs-without comparisons and explorer,Keep threshold definitions documented in merge.py.
correlation_ready_daily_enriched.csv,low_exercise_day,Low Exercise Day,derived flag,binary,0/1,Exercise minutes below the configured threshold.,Derived during merge/enrichment.,Presence of condition,Underlying metric unavailable,yes,With-vs-without comparisons and explorer,Keep threshold definitions documented in merge.py.
correlation_ready_daily_enriched.csv,high_walking_distance_day,High Walking Distance Day,derived flag,binary,0/1,Walking/running distance above the configured threshold.,Derived during merge/enrichment.,Presence of condition,Underlying metric unavailable,yes,With-vs-without comparisons and explorer,Keep threshold definitions documented in merge.py.
